code_uic,cp,a2021,a2020,2019,a2018,a2017,a2016,a2015
87342048,62121,71432,67305,97848,92323,96451,92084,92018
87171702,2190,12294,10436,8796,6155,7368,8979,9821
87313098,80470,141082,131401,168438,157681,163330,154908,162534
87713636,21110,21511,19409,25004,24241,25375,24134,26267
87319012,13592,4487146,3167797,5529463,5534968,5690886,5235505,5212927
87746115,73410,90061,67880,106006,84275,99810,86676,86131
87741645,73200,286202,232455,356454,334196,386448,380028,411838
87615195,81000,57591,37520,51855,44787,55019,52084,63723
87721266,69250,251269,188123,240974,231762,248505,234131,242051
87775288,30100,497091,384842,542284,521900,576382,551574,523513
87394205,28300,25521,24910,26442,23309,23907,25333,23290
87481192,44150,969924,778934,1248518,1157751,1203715,1115563,1076664
87575332,86700,10031,7457,9770,8847,9727,11143,13583
87726406,42160,21399,20292,37934,25637,23002,19698,24472
87484048,49000,23674,18317,23126,16070,12708,12663,16649
87583005,16000,1784600,1307929,2148663,2014635,2158917,1986721,2020819
87745497,74100,1279646,809866,887222,772613,992382,958873,977439
87317255,62134,3630,412,811,2643,12147,18542,19182
87296459,60400,6565,5965,7990,7832,6961,6728,5493
87582668,33120,1171230,919669,1292779,1080760,1083803,943996,958525
87144410,88380,54228,40349,64056,51087,53916,52117,58746
87597120,36200,181533,148238,192154,161190,168092,157769,170559
87753657,13200,670183,407461,784438,734699,812595,769614,782385
87342014,62000,3724885,3277711,5371360,5075699,5452299,5172884,5182086
87394486,28290,9504,7471,8096,7113,7322,6770,6001
87543058,45410,74019,60524,71415,62685,62856,60354,61368
87594465,19190,6209,5011,8137,6662,8054,7895,8467
87317230,62770,7418,589,1133,1414,5041,7936,9640
87444059,14250,14265,10779,15635,14323,16234,16471,16984
87281428,62370,290404,246811,312681,291570,305750,292105,288767
87545657,28700,21915,16876,30190,30121,31784,33197,32939
87476200,56400,1084849,779322,1109909,982728,1037396,998220,988235
87713347,21130,323215,308332,373690,338385,355617,340160,337148
87543207,75016,984899,836594,1773182,1804822,1836151,1838993,1832910
87718551,25690,10155,13740,21973,15850,17198,17448,19852
87448514,50300,19124,13362,16899,16954,24311,23086,28911
87171561,51160,41948,42312,58894,59687,67310,67550,64703
87437806,17440,9707,7205,11310,9352,11792,12485,13118
87141408,54122,8498,7448,10951,10053,11678,12881,15799
87271494,95700,6312246,5035012,15283854,14961932,14704083,13581113,13021148
87613604,46270,1924,920,1569,3358,4727,4038,4367
87394411,28120,95047,67661,79178,76427,74398,75577,77159
87342592,62580,540,640,852,687,951,1628,1035
87313569,60250,7808,6145,10295,10936,11831,11228,14172
87474189,29380,29217,25645,28103,22562,22688,23072,23529
87175042,55000,422143,349939,520730,476511,519100,484575,518672
87118299,10200,75139,79554,89686,74247,83462,81953,83007
87615757,12160,10006,7645,9837,6223,6141,6053,5699
87582759,33720,17115,14286,19071,17065,20850,21672,23455
87574152,45130,11469,8932,16635,14919,12138,11273,11778
87718460,25110,221292,193902,230033,200332,213721,212465,219640
87611723,31450,72192,52111,55961,50573,68316,67474,74680
87317198,62990,13682,1744,2379,2962,13336,23410,26699
87491076,17800,27,55,89,11,200,205,396
87141804,54940,20628,17494,25006,23040,28306,28504,28800
87276550,95270,160085,70829,182798,188233,182248,178318,173862
87784892,66760,46,23,78,33,4,10,2
87214122,67230,432888,364911,568087,499387,491647,456915,452956
87584268,24100,348562,249033,231789,339295,371690,343754,361849
87592352,87370,3049,3064,4347,4566,5126,5404,4818
87215335,57930,18806,15676,21267,21396,20083,20717,19951
87718007,25000,2099019,1744777,2368816,2141025,2327766,2242759,2333037
87276642,95550,693514,340303,737892,707523,700747,668488,635190
87144188,88430,45,806,1175,1579,2871,3142,3041
87582478,33380,954079,731413,1064982,948818,960526,857708,877757
87757690,6410,256868,188389,341782,284370,299102,244870,314143
87713073,21540,36394,36567,36585,35558,43707,39990,42547
87574475,37150,176794,127337,182004,174670,173976,159769,160351
87721787,69620,27078,23861,35206,28578,25221,46924,49282
87784801,66210,3333,2147,1965,1188,1378,1473,1720
87478065,35270,3107,3261,4671,4713,7397,8156,6891
87581009,33800,20314398,13807523,21821796,19853073,18492961,15059756,14891776
87317016,62200,302752,260656,393366,357726,383423,365365,383316
87757534,83700,23267,13038,19593,11894,15423,22844,25803
87723429,38300,1439055,961337,1933201,1838905,1915356,1771897,1672808
87486324,85480,1058,320,949,729,573,716,1587
87684118,77780,155144,83212,151614,138473,127852,114171,103948
87682138,91800,2906672,1921990,3487143,3585833,3677684,3712941,3725311
87726216,42160,34858,26961,43426,33990,37248,32178,36970
87182659,68380,29562,28763,30219,27185,28724,31159,31894
87317180,62170,1330,380,152,3,451,514,1431
87131961,1460,34660,25344,35922,32292,32521,38422,44243
87448084,61220,31297,24431,37420,34356,35494,34775,32692
87594002,19100,971200,672706,1012543,948604,1080750,1045725,1113072
87694166,71190,5014,5732,4836,6919,7856,6225,5896
87682120,91800,3464332,920246,5141272,5045320,4964873,4792605,4604922
87592162,19170,5689,4761,7502,5992,5810,5815,7142
87316067,80300,2579,2843,2990,2632,3036,2704,2244
87613000,46000,441033,329807,414505,373914,443887,435792,448317
87756395,6320,95563,74013,99635,77459,89868,73501,67959
87172353,8110,14028,10707,20213,20816,24363,28893,31371
87615039,11400,348633,259728,352252,309127,384937,372905,368305
87584136,33350,181516,133458,126556,165780,186208,173563,187413
87345561,59540,126324,102999,160222,132101,144371,133481,144088
87473066,22350,49281,42095,55299,45131,36453,31786,27383
87381905,95800,2055037,5992100,12236286,12279673,12347999,12213175,11996226
87583690,16210,22195,16085,22302,16505,16052,14990,17180
87683128,89340,74932,57749,80015,53895,58963,58208,63772
87381475,78570,826353,331726,719119,757040,796777,823290,838046
87486332,85110,12552,8294,17727,17660,15532,16152,19927
87722710,69630,89155,74261,91801,80970,77448,65119,59240
87721530,69260,265726,227926,315943,302447,316262,294320,283231
87381194,95750,186583,61405,216668,210567,211762,207620,204576
87142000,52000,368713,310448,490468,481459,559935,562790,600403
87393173,92370,817000,538929,1505780,1623827,1754176,1860522,1963899
87116111,77500,7258472,5503458,10874698,10902348,10947125,10797607,10591778
87393637,91380,455942,343304,1027095,1025321,1033197,1018999,998852
87783290,48100,20,59,22,15,25,15,87
87342220,62920,3386,3389,5799,4462,5183,6643,6723
87484303,49280,564293,402313,624853,588766,676452,651787,690784
87751230,4160,11083,7155,18133,31432,40836,38741,39276
87543066,28210,5504,3302,3720,3358,4982,4606,3856
87574665,37110,69991,52114,68702,58237,57896,61802,66646
87471524,35220,486621,448423,581537,521666,523929,502365,487793
87597005,36000,771747,700057,1006520,910567,984930,938803,981109
87758607,75001,23513054,7980634,32978142,32450133,31827871,30742412,29526620
87611376,31550,92186,72035,102217,98091,130112,123578,123392
87782607,63000,278096,248104,326766,310048,383228,362136,386177
87313304,60600,1004422,875850,1211075,1144411,1210066,1148242,1154895
87784256,66190,85175,61975,101806,82088,97534,68177,89884
87594382,24570,21220,15934,28351,28841,33306,32350,33378
87713537,21700,8681,12146,15088,12843,13228,12360,13779
87345132,62680,14460,12501,33746,33675,35421,31557,30520
87781161,11110,2668,2409,4105,2708,2550,2154,2427
87394221,28190,421695,308137,407625,377459,371373,365994,384193
87481804,44220,42387,33555,56980,46990,37526,32029,32373
87613232,12110,3332,2310,3204,3123,3594,3520,3690
87761783,26400,53630,52330,75386,58015,59650,57212,56260
87608802,94600,6072149,1904409,7763379,7588995,7375710,7064928,6748141
87725713,71680,27922,16541,27490,24107,25708,22115,19655
87741074,1350,245044,189548,326085,256445,287683,277122,278419
87214551,67120,80022,67074,106254,88930,80157,69926,69998
87142497,88320,186,41,261,406,601,581,579
87700146,90400,1007,948,1924,87,0,0,0
87734673,43270,2160,2094,3386,2834,6034,8542,7577
87673202,40100,1208755,794978,1164973,1080759,1163250,1092530,1121643
87696484,58300,74071,61224,94895,78441,94386,90908,101184
87297143,2270,9055,10378,9871,11496,13503,13129,13255
87415018,76200,669507,537971,796347,717188,721683,684565,733730
87478073,35120,384796,295448,427379,380495,404127,379307,394141
87281006,59140,1571548,1379970,2146399,1848111,1952193,1868161,1948766
87214536,67120,110016,90922,138972,142482,143119,145130,139137
87613174,46340,697,267,215,151,308,347,352
87784207,66200,58495,36863,65786,64944,78349,67193,73536
87765826,84700,74397,49169,99479,96934,116305,68044,39616
87214221,67680,26908,21334,26024,22409,24355,26404,30750
87590356,44240,29592,27016,41140,33668,31751,23906,20552
87611707,31750,53746,45517,57402,49190,64311,62219,63141
87272096,60110,40101,32345,44886,42395,44624,38543,32991
87681601,91100,207462,101432,281500,301824,324412,342324,360066
87784827,66800,255,138,181,228,96,77,82
87313387,60190,47579,35533,49403,43288,45439,45473,46836
87571422,37320,22226,17079,25371,28381,24786,22696,21833
87193516,57450,687,930,2505,2646,3296,3169,3275
87182626,68470,22995,23468,25221,24528,26713,29281,27050
87611962,31150,14,14,22,7,42,64,1094
87316752,80190,0,0,10,238,397,547,574
87696633,58190,1149,668,1356,1032,989,895,810
87784769,66360,3213,2240,3012,2886,3009,3703,3614
87485326,79230,30792,27613,28194,31508,32571,29733,28785
87471201,35390,13835,12307,16822,13342,9697,10415,12838
87313841,60220,2151,1692,1747,1394,1277,1231,478
87576108,18500,24973,21722,27253,25818,25935,22704,24726
87142240,52320,44133,37461,36457,33271,34600,32376,33672
87773556,34110,413342,279780,367634,350713,423739,406562,401340
87141077,54390,50077,33962,54606,46822,45636,37882,41051
87444182,14630,9513,9392,19546,15018,15249,13308,10752
87574533,41160,3856,2479,3872,3447,3635,4175,3792
87615252,81600,366628,287638,329121,255107,301624,280319,288958
87212332,67760,215421,192661,243205,224116,226000,208740,200663
87313262,60120,1921,1782,1790,2805,2269,1408,2426
87113860,93320,4574239,6591131,3150620,3233856,3297972,3299886,3304052
87393348,78125,678866,119283,287054,284182,285161,278919,271971
87718577,25650,10390,13290,21293,16559,16797,13031,21001
87611772,32200,49236,37732,54608,43555,56408,51139,57265
87582858,33190,4266,3107,3176,1725,2468,3028,2968
87172130,8600,75160,65458,81721,79315,89898,92403,102220
87576876,41130,62263,46244,56134,49554,53522,55532,53581
87755397,83590,25694,17023,26393,21017,20367,20036,18252
87613141,46300,103255,75932,96737,84878,97678,97145,100610
87276246,95190,2004993,2643838,5227952,5196033,5171933,5045910,4912463
87615377,31380,18035,16440,18618,13357,13242,13393,11090
87747402,38610,686340,551556,894346,772998,837144,748799,758231
87214593,67190,167991,159916,211292,189944,194057,187503,177838
87746248,74570,85991,67698,76660,68730,77445,67629,63268
87142265,52320,1222,1808,3576,2697,2071,1915,1642
87213223,67110,84884,72612,79706,64665,64765,72360,75320
87597609,23000,55050,41808,79157,75117,87870,81869,83399
87342261,62190,2895,2413,2454,3036,3193,3738,4195
87313114,80310,34438,32903,43635,39230,39105,37668,42167
87413302,76700,3944,3338,4761,4029,4578,5481,6840
87286096,59320,51198,40675,61310,56343,71492,66311,66832
87316059,80113,6721,4490,5151,3945,4278,4628,4917
87286062,59260,941,1452,3251,3003,2678,3459,4392
87677005,64700,309145,223715,429575,370721,414813,390902,458763
87381889,95220,2982632,1702962,3341643,3353417,3380147,3342904,3221262
87182329,68420,54133,46806,51225,51605,56497,53434,47744
87212167,67270,255252,225438,289164,257706,272514,260968,262622
87213413,67250,17942,15442,20638,18341,18232,21663,20874
87213686,67720,236286,199606,262474,248690,247972,247311,246304
87141473,54180,9155,6841,7963,6689,5519,4059,5255
87193540,57990,25896,36599,38274,34386,34555,35070,37398
87755629,83400,572805,365960,532361,489062,537675,427502,248414
87394437,28120,268972,190068,207955,192194,185400,178885,183481
87484360,49123,55226,37354,60098,56089,62191,66843,69883
87481622,44520,19007,14172,20099,19694,24814,21193,21166
87345397,59141,4585,5446,7181,5870,6973,6520,7871
87141010,54140,34886,30636,41635,32184,30080,27277,25777
87295014,59460,62954,62713,92964,73200,72038,69142,75639
87175091,52300,49377,39873,57765,53597,61577,63789,68019
87393512,78350,542195,308399,829498,833186,844660,840393,829490
87545244,91260,41887674,21871129,40222510,43157732,42199755,40463299,38614086
87193664,57412,11747,7484,10784,12902,12170,12860,13738
87338525,67100,163885,149166,206425,209658,214492,202022,188725
87191312,57110,999,1135,929,622,561,1398,1865
87113886,93190,753017,1018355,856326,869325,878787,872604,865256
87721431,69210,715485,612641,950385,911819,975753,911712,919562
87756809,6440,18129,17737,36730,31953,33789,24023,21104
87342436,59480,269871,242702,339416,318305,344024,327529,301583
87387142,27190,5242,4318,5879,6705,10923,10024,8913
87297085,2140,2997,2878,3202,4266,5251,5950,5906
87590364,44240,20741,14849,21028,17143,15547,13054,12746
87474221,29800,70489,71590,74192,71687,72890,66200,62521
87726232,42480,7312,5484,9693,6627,7385,5073,7065
