code_uic_complet,nom_gare,total_voyageurs_non_voyageurs_2015,total_voyageurs_non_voyageurs_2016,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2019,total_voyageurs_non_voyageurs_2020,total_voyageurs_non_voyageurs_2021
87342048,Achiet-le-Grand,92018,92084,96451,92323,97848,67305,71432
87171702,Aguilcourt - Variscourt,9821,8979,7368,6155,8796,10436,12294
87313098,Ailly-sur-Somme,162534,154908,163330,157681,168438,131401,141082
87713636,Aiserey,26267,24134,25375,24241,25004,19409,21511
87319012,Aix-en-Provence TGV,5212927,5235505,5690886,5534968,5529463,3167797,4487146
87746115,Albens,86131,86676,99810,84275,106006,67880,90061
87741645,Albertville,411838,380028,386448,334196,356454,232455,286202
87615195,Albi Madeleine,63723,52084,55019,44787,51855,37520,57591
87721266,Albigny - Neuville,242051,234131,248505,231762,240974,188123,251269
87775288,Alès,523513,551574,576382,521900,542284,384842,497091
87394205,Amilly Ouerray,23290,25333,23907,23309,26442,24910,25521
87481192,Ancenis,1076664,1115563,1203715,1157751,1248518,778934,969924
87575332,Anché - Voulon,13583,11143,9727,8847,9770,7457,10031
87726406,Andrézieux-Bouthéon,24472,19698,23002,25637,37934,20292,21399
87484048,Angers Maître École,16649,12663,12708,16070,23126,18317,23674
87583005,Angoulême,2020819,1986721,2158917,2014635,2148663,1307929,1784600
87745497,Annemasse,977439,958873,992382,772613,887222,809866,1279646
87317255,Anvin,19182,18542,12147,2643,811,412,3630
87296459,Appilly,5493,6728,6961,7832,7990,5965,6565
87582668,Arcachon,958525,943996,1083803,1080760,1292779,919669,1171230
87144410,Arches,58746,52117,53916,51087,64056,40349,54228
87597120,Argenton-sur-Creuse,170559,157769,168092,161190,192154,148238,181533
87753657,Arles,782385,769614,812595,734699,784438,407461,670183
87342014,Arras,5182086,5172884,5452299,5075699,5371360,3277711,3724885
87394486,Arrou,6001,6770,7322,7113,8096,7471,9504
87543058,Artenay,61368,60354,62856,62685,71415,60524,74019
87594465,Aubazines - Saint-Hilaire,8467,7895,8054,6662,8137,5011,6209
87317230,Auchy-lès-Hesdin,9640,7936,5041,1414,1133,589,7418
87444059,Audrieu,16984,16471,16234,14323,15635,10779,14265
87281428,Audruicq,288767,292105,305750,291570,312681,246811,290404
87545657,Auneau,32939,33197,31784,30121,30190,16876,21915
87476200,Auray,988235,998220,1037396,982728,1109909,779322,1084849
87713347,Auxonne,337148,340160,355617,338385,373690,308332,323215
87543207,Avenue du Président Kennedy Maison de Radio France,1832910,1838993,1836151,1804822,1773182,836594,984899
87718551,Avoudrey,19852,17448,17198,15850,21973,13740,10155
87448514,Avranches,28911,23086,24311,16954,16899,13362,19124
87171561,Ay,64703,67550,67310,59687,58894,42312,41948
87437806,Aytré Plage,13118,12485,11792,9352,11310,7205,9707
87141408,Azerailles,15799,12881,11678,10053,10951,7448,8498
87271494,Aéroport Charles de Gaulle 2 TGV,13021148,13581113,14704083,14961932,15283854,5035012,6312246
87613604,Bagnac-sur-Célé,4367,4038,4727,3358,1569,920,1924
87394411,Bailleau-le-Pin,77159,75577,74398,76427,79178,67661,95047
87342592,Bailleul-Sir-Berthoult,1035,1628,951,687,852,640,540
87313569,Balagny Saint-Épin,14172,11228,11831,10936,10295,6145,7808
87474189,Bannalec,23529,23072,22688,22562,28103,25645,29217
