datasetid,recordid,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2021,total_voyageurs_non_voyageurs_2015,segmentation_drg,total_voyageurs_2020,total_voyageurs_non_voyageurs_2016,total_voyageurs_2018,totalvoyageurs2017,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2019,code_uic_complet,code_postal,total_voyageurs_non_voyageurs_2020,total_voyageurs_2019,total_voyageurs_2021,total_voyageurs_2016,total_voyageurs_2015,nom_gare,record_timestamp
frequentation-gares,af68d6331018a9a4246bc7aefe08f52b98e14d2b,92323,71432,92018,c,67305,92084,92323,96451,96451,97848,87342048,62121,67305,97848,71432,92084,92018,Achiet-le-Grand,2022-11-18T15:48:22.919+01:00
frequentation-gares,f7eafa5a9f578b1e3cfac9d1e4a4343e3d36bbc3,6155,12294,9821,c,10436,8979,6155,7368,7368,8796,87171702,2190,10436,8796,12294,8979,9821,Aguilcourt - Variscourt,2022-11-18T15:48:22.919+01:00
frequentation-gares,d47f616628bebaed0c285f77c424b85c7caf3bb9,157681,141082,162534,b,105120,154908,126145,130664,163330,168438,87313098,80470,131401,134750,112866,123926,130027,Ailly-sur-Somme,2022-11-18T15:48:22.919+01:00
frequentation-gares,66dc18791203131fe981e208523251dc4722bea5,24241,21511,26267,c,19409,24134,24241,25375,25375,25004,87713636,21110,19409,25004,21511,24134,26267,Aiserey,2022-11-18T15:48:22.919+01:00
frequentation-gares,de1e4506d8b1ed633e67f95271316538dd554e73,5534968,4487146,5212927,a,2059068,5235505,3597729,3699076,5690886,5529463,87319012,13592,3167797,3594151,2916645,3403078,3388402,Aix-en-Provence TGV,2022-11-18T15:48:22.919+01:00
frequentation-gares,7b4dd3631f0b760a8a728c675bb9a7e7711a6129,84275,90061,86131,c,67880,86676,84275,99810,99810,106006,87746115,73410,67880,106006,90061,86676,86131,Albens,2022-11-18T15:48:22.919+01:00
frequentation-gares,24e3a1f7a322486a0b02f510c75b8d455196ae74,334196,286202,411838,b,202236,380028,290751,336210,386448,356454,87741645,73200,232455,310114,248996,330624,358299,Albertville,2022-11-18T15:48:22.919+01:00
frequentation-gares,2753ef1f1f2cdc4256b8a63b9d5bf38463c85984,44787,57591,63723,c,37520,52084,44787,55019,55019,51855,87615195,81000,37520,51855,57591,52084,63723,Albi Madeleine,2022-11-18T15:48:22.919+01:00
frequentation-gares,78df03bf1ce238cb6159dfad60274b2e1e9c6b72,231762,251269,242051,b,186241,234131,229444,246020,248505,240974,87721266,69250,188123,238564,248756,231790,239630,Albigny - Neuville,2022-11-18T15:48:22.919+01:00
frequentation-gares,7af1621002b83567101a82a4d08c048e763c9a24,521900,497091,523513,b,307874,551574,417520,461106,576382,542284,87775288,30100,384842,433827,397673,441259,418810,Alès,2022-11-18T15:48:22.919+01:00
frequentation-gares,12f510e3ac1dc73d36341946d90b24b45d2b0d21,23309,25521,23290,c,24910,25333,23309,23907,23907,26442,87394205,28300,24910,26442,25521,25333,23290,Amilly Ouerray,2022-11-18T15:48:22.919+01:00
frequentation-gares,be3a635ae677d7a874c038a879e34a145e440fa0,1157751,969924,1076664,b,623147,1115563,926200,962972,1203715,1248518,87481192,44150,778934,998815,775939,892451,861331,Ancenis,2022-11-18T15:48:22.919+01:00
frequentation-gares,f5f92cd7c32b478cefe120f84cddc46a624b89ba,8847,10031,13583,c,7457,11143,8847,9727,9727,9770,87575332,86700,7457,9770,10031,11143,13583,Anché - Voulon,2022-11-18T15:48:22.919+01:00
frequentation-gares,ebd327d0642727e335d0042a14f17b73c7427099,25637,21399,24472,c,20292,19698,25637,23002,23002,37934,87726406,42160,20292,37934,21399,19698,24472,Andrézieux-Bouthéon,2022-11-18T15:48:22.919+01:00
frequentation-gares,b611dee5cbc217f916f1cd60d92c7f8013bf01d0,16070,23674,16649,c,18317,12663,16070,12708,12708,23126,87484048,49000,18317,23126,23674,12663,16649,Angers Maître École,2022-11-18T15:48:22.919+01:00
frequentation-gares,cdd0361b0ee706c3a1e200f868f46eef081fab48,2014635,1784600,2020819,a,1111740,1986721,1712440,1835079,2158917,2148663,87583005,16000,1307929,1826364,1516910,1688713,1717696,Angoulême,2022-11-18T15:48:22.919+01:00
frequentation-gares,889d992dce80605ab4dd9556939011fa0f75381d,772613,1279646,977439,b,647893,958873,618090,793906,992382,887222,87745497,74100,809866,709777,1023717,767099,781951,Annemasse,2022-11-18T15:48:22.919+01:00
frequentation-gares,4a23e0679f8d0ec2ee69998051b2ffdfb2f615a6,2643,3630,19182,c,412,18542,2643,12147,12147,811,87317255,62134,412,811,3630,18542,19182,Anvin,2022-11-18T15:48:22.919+01:00
frequentation-gares,92346501afd2f0e91caca380889de5f0ea922f0c,7832,6565,5493,c,5965,6728,7832,6961,6961,7990,87296459,60400,5965,7990,6565,6728,5493,Appilly,2022-11-18T15:48:22.919+01:00
frequentation-gares,715fe9d8cd787122c14b660a6bff523df727316c,1080760,1171230,958525,b,772522,943996,907838,910395,1083803,1292779,87582668,33120,919669,1085934,983833,792957,805161,Arcachon,2022-11-18T15:48:22.919+01:00
frequentation-gares,e6c77503ad590639dffd31f93baa907029212bba,51087,54228,58746,c,40349,52117,51087,53916,53916,64056,87144410,88380,40349,64056,54228,52117,58746,Arches,2022-11-18T15:48:22.919+01:00
frequentation-gares,c00df6167fa102b79d0f7ad16e96945326e1d327,161190,181533,170559,b,118590,157769,128952,134473,168092,192154,87597120,36200,148238,153723,145226,126215,136447,Argenton-sur-Creuse,2022-11-18T15:48:22.919+01:00
frequentation-gares,5ea17200b71cad88454b3772ca8ae3970da70d8e,734699,670183,782385,b,358566,769614,646535,715084,812595,784438,87753657,13200,407461,690306,589761,677260,688498,Arles,2022-11-18T15:48:22.919+01:00
frequentation-gares,c137ad4d87ed92bb8b14f0d73e46e540e14ac734,5075699,3724885,5182086,a,2622169,5172884,4060559,4361839,5452299,5371360,87342014,62000,3277711,4297088,2979908,4138307,4145669,Arras,2022-11-18T15:48:22.919+01:00
frequentation-gares,d01a716b620c3ae2505918e26f7a1100c5f80d8d,7113,9504,6001,c,7471,6770,7113,7322,7322,8096,87394486,28290,7471,8096,9504,6770,6001,Arrou,2022-11-18T15:48:22.919+01:00
frequentation-gares,f65376cd188b45ef13b296b5a9026d7316174a5d,62685,74019,61368,c,60524,60354,62685,62856,62856,71415,87543058,45410,60524,71415,74019,60354,61368,Artenay,2022-11-18T15:48:22.919+01:00
frequentation-gares,59dae3601ba0f34f7016d9999bab9506c7216a96,6662,6209,8467,c,5011,7895,6662,8054,8054,8137,87594465,19190,5011,8137,6209,7895,8467,Aubazines - Saint-Hilaire,2022-11-18T15:48:22.919+01:00
frequentation-gares,689cd500136654fc355a56030bb5a68ddae23012,1414,7418,9640,c,589,7936,1414,5041,5041,1133,87317230,62770,589,1133,7418,7936,9640,Auchy-lès-Hesdin,2022-11-18T15:48:22.919+01:00
frequentation-gares,a583ac16474ca98f644d839195e4bb96d10e98e1,14323,14265,16984,c,10779,16471,14323,16234,16234,15635,87444059,14250,10779,15635,14265,16471,16984,Audrieu,2022-11-18T15:48:22.919+01:00
frequentation-gares,eb6cd2ade0bf4fe1429b29676dbe9bca28e18a22,291570,290404,288767,b,197448,292105,233256,244600,305750,312681,87281428,62370,246811,250145,232323,233684,231014,Audruicq,2022-11-18T15:48:22.919+01:00
frequentation-gares,ec9daa143a78d1ddfddbcbc31f88b31c8078f159,30121,21915,32939,c,16876,33197,30121,31784,31784,30190,87545657,28700,16876,30190,21915,33197,32939,Auneau,2022-11-18T15:48:22.919+01:00
frequentation-gares,a3e4f3cf19105f4e708d004c98d28b4fc21ac6ff,982728,1084849,988235,a,623457,998220,786183,829917,1037396,1109909,87476200,56400,779322,887927,867879,798576,790588,Auray,2022-11-18T15:48:22.919+01:00
frequentation-gares,30852f1c71f6abd4185e13472ae2fcd6215bf6db,338385,323215,337148,b,246666,340160,270708,284494,355617,373690,87713347,21130,308332,298952,258572,272128,269718,Auxonne,2022-11-18T15:48:22.919+01:00
frequentation-gares,652135424daac2d8971eeb417efd9b03d910656e,1804822,984899,1832910,b,836594,1838993,1804822,1836151,1836151,1773182,87543207,75016,836594,1773182,984899,1838993,1832910,Avenue du Président Kennedy Maison de Radio France,2022-11-18T15:48:22.919+01:00
frequentation-gares,af8d2179de8ee47f18c4f05e2a36a8196a05e3fb,15850,10155,19852,c,13740,17448,15850,17198,17198,21973,87718551,25690,13740,21973,10155,17448,19852,Avoudrey,2022-11-18T15:48:22.919+01:00
frequentation-gares,40c3bda9b237897fa373ed1525f9073539b067c8,16954,19124,28911,c,13362,23086,16954,24311,24311,16899,87448514,50300,13362,16899,19124,23086,28911,Avranches,2022-11-18T15:48:22.919+01:00
frequentation-gares,b91a9c45b931723c5af6fcf759dafdbf23e7bced,59687,41948,64703,c,42312,67550,59687,67310,67310,58894,87171561,51160,42312,58894,41948,67550,64703,Ay,2022-11-18T15:48:22.919+01:00
frequentation-gares,b968bfb87ae6bd417765886e5359c3f87aeeba64,9352,9707,13118,c,7205,12485,9352,11792,11792,11310,87437806,17440,7205,11310,9707,12485,13118,Aytré Plage,2022-11-18T15:48:22.919+01:00
frequentation-gares,480f228740c68dc17d6f9f7f16cf796e864efd2f,10053,8498,15799,c,7448,12881,10053,11678,11678,10951,87141408,54122,7448,10951,8498,12881,15799,Azerailles,2022-11-18T15:48:22.919+01:00
frequentation-gares,170b8d695927a8d7a05277f0f93629596debcece,14961932,6312246,13021148,a,5011999,13581113,14907773,14649835,14704083,15283854,87271494,95700,5035012,15227840,6281244,13534634,12976556,Aéroport Charles de Gaulle 2 TGV,2022-11-18T15:48:22.919+01:00
frequentation-gares,1b119efc512a062f28a8cdd9ecda7bc627251d61,3358,1924,4367,c,920,4038,3358,4727,4727,1569,87613604,46270,920,1569,1924,4038,4367,Bagnac-sur-Célé,2022-11-18T15:48:22.919+01:00
frequentation-gares,92ba38ed340d43c353e00e97af2800ae12876cd6,76427,95047,77159,c,67661,75577,76427,74398,74398,79178,87394411,28120,67661,79178,95047,75577,77159,Bailleau-le-Pin,2022-11-18T15:48:22.919+01:00
frequentation-gares,0a4317358b604f0454f23704f34a7493f6cc6a10,687,540,1035,c,640,1628,687,951,951,852,87342592,62580,640,852,540,1628,1035,Bailleul-Sir-Berthoult,2022-11-18T15:48:22.919+01:00
frequentation-gares,25fe7c0e696b18e61cbb1aa32399ce2b1a890dd7,10936,7808,14172,c,6145,11228,10936,11831,11831,10295,87313569,60250,6145,10295,7808,11228,14172,Balagny Saint-Épin,2022-11-18T15:48:22.919+01:00
frequentation-gares,49ef173aba1dd089a6611100fba56301bfe24a1e,22562,29217,23529,c,25645,23072,22562,22688,22688,28103,87474189,29380,25645,28103,29217,23072,23529,Bannalec,2022-11-18T15:48:22.919+01:00
frequentation-gares,b3d96630278b905e2fbfa7b80a625cea4bc63e5b,476511,422143,518672,b,279951,484575,381208,415280,519100,520730,87175042,55000,349939,416584,337714,387660,414938,Bar-le-Duc,2022-11-18T15:48:22.919+01:00
frequentation-gares,3ce90769d1ca303e4fe914eb505353a21aef64da,74247,75139,83007,c,79554,81953,74247,83462,83462,89686,87118299,10200,79554,89686,75139,81953,83007,Bar-sur-Aube,2022-11-18T15:48:22.919+01:00
frequentation-gares,2b8bc534ff5d78d117260ecd4194ab745bf1fd8e,6223,10006,5699,c,7645,6053,6223,6141,6141,9837,87615757,12160,7645,9837,10006,6053,5699,Baraqueville Carcenac Peyralès,2022-11-18T15:48:22.919+01:00
frequentation-gares,e50254d6c8b4934d8ff5042951dfc2a55d536599,17065,17115,23455,c,14286,21672,17065,20850,20850,19071,87582759,33720,14286,19071,17115,21672,23455,Barsac,2022-11-18T15:48:22.919+01:00
frequentation-gares,f60648007129bdd89bcf74cfaae6480021bd436a,14919,11469,11778,c,8932,11273,14919,12138,12138,16635,87574152,45130,8932,16635,11469,11273,11778,Baule,2022-11-18T15:48:22.919+01:00
frequentation-gares,e5dc02008271d0973c8187cb74482c1164eec895,200332,221292,219640,b,155122,212465,160265,170977,213721,230033,87718460,25110,193902,184027,177034,169972,175712,Baume-les-Dames,2022-11-18T15:48:22.919+01:00
